Date,Year,Month,Max_Temp,Min_Temp,Avg_Temp,Rainfall
1951-01-01,1951,1,26.96999931,15.64999962,21.309999464999997,0.0
1951-02-01,1951,2,26.18000031,14.68999958,20.434999945,0.0
1951-03-01,1951,3,26.30999947,14.94999981,20.62999964,0.0
1951-04-01,1951,4,26.72999954,14.84000015,20.784999845,0.0
1951-05-01,1951,5,26.93000031,14.52999973,20.73000002,0.0
1951-06-01,1951,6,26.25,13.48999977,19.869999885,0.0
1951-07-01,1951,7,26.45000076,12.69999981,19.575000285,0.0
1951-08-01,1951,8,25.69000053,15.81000042,20.750000475,0.0
1951-09-01,1951,9,25.88999939,15.27999973,20.58499956,0.0
1951-10-01,1951,10,26.62000084,15.27000046,20.94500065,0.0
1951-11-01,1951,11,27.04999924,15.14999962,21.099999429999997,0.0
1951-12-01,1951,12,27.77000046,14.77000046,21.27000046,0.0
1951-01-13,1951,1,28.21999931,15.93999958,22.079999445,0.0
1951-01-14,1951,1,27.87000084,16.62000084,22.24500084,0.0
1951-01-15,1951,1,27.90999985,16.47999954,22.194999695,0.0
1951-01-16,1951,1,26.79000092,18.37000084,22.58000088,0.0
1951-01-17,1951,1,27.85000038,18.07999992,22.96500015,0.0
1951-01-18,1951,1,28.0,17.28000069,22.640000345,0.0
1951-01-19,1951,1,27.70000076,16.63999939,22.170000075,0.0
1951-01-20,1951,1,29.32999992,17.32999992,23.32999992,0.0
1951-01-21,1951,1,28.94000053,17.20999908,23.074999804999997,0.0
1951-01-22,1951,1,28.45000076,17.03000069,22.740000725,0.0
1951-01-23,1951,1,27.59000015,17.06999969,22.32999992,0.0
1951-01-24,1951,1,26.96999931,17.05999947,22.01499939,0.0
1951-01-25,1951,1,28.32999992,16.64999962,22.489999769999997,0.0
1951-01-26,1951,1,28.28000069,16.38999939,22.33500004,0.0
1951-01-27,1951,1,27.87000084,13.73999977,20.805000305,0.0
1951-01-28,1951,1,27.79000092,13.53999996,20.66500044,0.0
1951-01-29,1951,1,27.97999954,14.47999954,21.22999954,0.0
1951-01-30,1951,1,28.18000031,13.96000004,21.070000175,0.0
1951-01-31,1951,1,28.38999939,14.39000034,21.389999865,0.0
1951-01-02,1951,1,28.40999985,15.10000038,21.755000115,0.0
1951-02-02,1951,2,28.78000069,15.55000019,22.16500044,0.0
1951-03-02,1951,3,30.10000038,15.96000004,23.03000021,0.0
1951-04-02,1951,4,29.44000053,16.44000053,22.94000053,0.0
1951-05-02,1951,5,28.89999962,16.12999916,22.51499939,0.0
1951-06-02,1951,6,28.84000015,16.04999924,22.444999695,0.0
1951-07-02,1951,7,29.77000046,16.81999969,23.295000074999997,0.0
1951-08-02,1951,8,28.82999992,17.05999947,22.944999695,0.0
1951-09-02,1951,9,27.96999931,17.27000046,22.619999885,0.0
1951-10-02,1951,10,28.26000023,17.25,22.755000115,0.0
1951-11-02,1951,11,29.47999954,17.86000061,23.670000075,0.0
1951-12-02,1951,12,30.0,18.0,24.0,0.0
1951-02-13,1951,2,31.02000046,16.52000046,23.77000046,0.0
1951-02-14,1951,2,31.17000008,16.47999954,23.82499981,0.0
1951-02-15,1951,2,29.79000092,16.03000069,22.910000805000003,0.0
1951-02-16,1951,2,31.09000015,15.92000008,23.505000115,0.0
1951-02-17,1951,2,30.62999916,17.13999939,23.884999275,0.0
1951-02-18,1951,2,30.48999977,16.29000092,23.390000345,0.0
1951-02-19,1951,2,30.0,15.02000046,22.51000023,0.0
1951-02-20,1951,2,31.70999908,15.73999977,23.724999425,0.0
1951-02-21,1951,2,31.56999969,16.90999985,24.239999769999997,0.0
1951-02-22,1951,2,31.37999916,14.97000027,23.174999715,0.0
1951-02-23,1951,2,30.90999985,15.06000042,22.985000135,0.0
1951-02-24,1951,2,31.73999977,14.93999958,23.339999675,0.0
1951-02-25,1951,2,32.68999863,16.03000069,24.35999966,0.0
1951-02-26,1951,2,32.97000122,15.92000008,24.44500065,0.0
1951-02-27,1951,2,32.88000107,15.73999977,24.31000042,0.0
1951-02-28,1951,2,33.20000076,16.31999969,24.760000225,0.0
1951-01-03,1951,1,33.36000061,17.14999962,25.255000115,0.0
1951-02-03,1951,2,33.77999878,17.46999931,25.624999045,0.0
1951-03-03,1951,3,32.93000031,16.96999931,24.949999809999998,0.0
1951-04-03,1951,4,31.27000046,16.88999939,24.079999925,0.0
1951-05-03,1951,5,31.57999992,17.69000053,24.635000225,0.0
1951-06-03,1951,6,32.59999847,16.89999962,24.749999045000003,0.0
1951-07-03,1951,7,32.70999908,17.05999947,24.884999275000002,0.0
1951-08-03,1951,8,32.15999985,17.72999954,24.944999695,0.0
1951-09-03,1951,9,32.93000031,17.34000015,25.13500023,0.0
1951-10-03,1951,10,33.20999908,17.82999992,25.5199995,0.0
1951-11-03,1951,11,33.29999924,17.12999916,25.2149992,0.0
1951-12-03,1951,12,33.47000122,17.28000069,25.375000955,0.0
1951-03-13,1951,3,33.54000092,17.57999992,25.560000419999998,0.0
1951-03-14,1951,3,33.52000046,18.85000038,26.18500042,0.0
1951-03-15,1951,3,33.93999863,18.51000023,26.224999429999997,0.0
1951-03-16,1951,3,32.97000122,16.89999962,24.93500042,0.0
1951-03-17,1951,3,33.04000092,18.76000023,25.900000575,0.0
1951-03-18,1951,3,33.33000183,20.48999977,26.9100008,0.0
1951-03-19,1951,3,34.38000107,20.79000092,27.585000995,0.0
1951-03-20,1951,3,34.34999847,21.54999924,27.949998855,0.0
1951-03-21,1951,3,34.02999878,21.69000053,27.859999655,0.0
1951-03-22,1951,3,35.25,21.84000015,28.545000075,0.0
1951-03-23,1951,3,35.04999924,23.12999916,29.0899992,0.0
1951-03-24,1951,3,34.81999969,23.27000046,29.045000075,26.1895771
1951-03-25,1951,3,33.52999878,20.12999916,26.82999897,3.459269047
1951-03-26,1951,3,32.72999954,21.18000031,26.954999925000003,0.0
1951-03-27,1951,3,32.77000046,21.43000031,27.100000385,0.0
1951-03-28,1951,3,32.27000046,20.54000092,26.40500069,0.0
1951-03-29,1951,3,31.80999947,20.92000008,26.364999775,0.0
1951-03-30,1951,3,32.68999863,22.35000038,27.519999505,0.0
1951-03-31,1951,3,31.89999962,20.51000023,26.204999925,9.057727814
1951-01-04,1951,1,31.87999916,20.45000076,26.164999960000003,5.645433426
1951-02-04,1951,2,31.29999924,21.20000076,26.25,1.333566904
1951-03-04,1951,3,32.54999924,22.12999916,27.3399992,0.0
1951-04-04,1951,4,31.05999947,22.09000015,26.57499981,0.0
1951-05-04,1951,5,32.29999924,21.82999992,27.06499958,0.0
1951-06-04,1951,6,33.54999924,22.34000015,27.944999695,0.0
1951-07-04,1951,7,33.41999817,22.15999985,27.78999901,0.0
1951-08-04,1951,8,33.90999985,22.17000008,28.039999965,0.0
1951-09-04,1951,9,33.38999939,21.05999947,27.22499943,0.0
1951-10-04,1951,10,34.36000061,22.05999947,28.21000004,0.0
1951-11-04,1951,11,33.86999893,22.67000008,28.269999505,6.223312378
1951-12-04,1951,12,29.75,20.80999947,25.279999735,8.233101845
1951-04-13,1951,4,30.70000076,20.73999977,25.720000265000003,8.029273033
1951-04-14,1951,4,30.10000038,21.55999947,25.829999925000003,0.0
1951-04-15,1951,4,31.47999954,21.29999924,26.38999939,0.0
1951-04-16,1951,4,31.38999939,21.05999947,26.22499943,0.0
1951-04-17,1951,4,32.09999847,21.71999931,26.90999889,0.0
1951-04-18,1951,4,33.04000092,22.17000008,27.6050005,0.0
1951-04-19,1951,4,33.38999939,22.39999962,27.894999505,0.0
1951-04-20,1951,4,33.29000092,21.05999947,27.175000195,0.0
1951-04-21,1951,4,31.29000092,20.55999947,25.925000195000003,0.0
1951-04-22,1951,4,32.36999893,20.87999916,26.624999045000003,0.0
1951-04-23,1951,4,32.56999969,22.23999977,27.40499973,0.0
1951-04-24,1951,4,33.04999924,22.43000031,27.739999775,0.0
1951-04-25,1951,4,32.77000046,21.95000076,27.36000061,7.112356663
1951-04-26,1951,4,33.47000122,22.87999916,28.17500019,0.254430562
1951-04-27,1951,4,34.81999969,23.06999969,28.944999690000003,1.882786155
1951-04-28,1951,4,33.50999832,21.18000031,27.344999315000003,2.133086681
1951-04-29,1951,4,33.59000015,22.22999954,27.909999845,0.666783452
